ChrID	Start	End	CM334	Chiltepin	ECW	SF	Zunla
chr05	33514043	33534388	1	1	1	1	1
chr05	36070171	36103858	0	1	1	1	1
chr05	36198383	36275481	1	1	1	1	1
chr05	40995381	40998875	0	1	0	0	0
chr05	91855446	91878631	1	2	2	2	2
chr05	99662845	99667723	0	1	0	0	0
chr05	120824094	120861538	1	0	1	1	1
chr05	150242983	150246035	0	0	0	1	0
chr05	187229428	187255723	1	1	1	1	1
chr05	194894855	194961623	1	1	1	1	1
chr05	202688264	202809925	2	2	2	2	3
chr05	209921468	209937437	1	1	1	1	1
chr05	210602226	210652333	2	2	2	2	2
chr05	212231869	212248599	1	1	1	1	1
chr05	214123667	214156699	1	1	1	1	1
chr05	215688857	215717605	1	1	1	1	1
chr05	216533922	216598895	2	1	2	2	2
chr05	219463571	219558711	3	3	4	3	2
chr05	221726114	221755843	1	1	1	1	1
chr05	221886816	221903491	1	1	1	1	1
chr05	223266522	223381251	1	1	1	1	1
chr05	230080811	230116116	1	0	1	1	1
chr05	231865041	232035910	6	5	5	7	6
chr05	232215612	232294787	2	2	1	0	2
chr05	232353658	232360580	1	1	1	0	1
chr05	232425994	232519951	3	1	0	2	1
chr05	232606884	232686830	3	3	2	1	2
chr05	233725330	233790388	1	1	1	1	1
chr05	234639228	234674041	1	1	1	1	1
chr05	237204247	237259326	3	5	1	1	7
chr06	965500	1026581	3	1	2	1	3
chr06	1090597	1106606	2	2	2	2	2
chr06	1316689	1320561	1	1	1	1	1
chr06	1474315	1679359	6	2	5	4	6
chr06	2019381	2083812	3	2	2	0	0
chr06	2268321	2271906	1	0	2	0	1
chr06	2341891	2345917	1	0	1	1	1
chr06	2416528	2540113	5	2	3	3	4
chr06	2941713	2956797	2	1	0	0	2
chr06	3092173	3120426	4	2	1	0	3
chr06	3232153	3278222	3	0	1	0	0
chr06	3332589	3401629	3	1	1	1	0
chr06	3776169	3832349	6	5	5	6	4
chr06	4712901	4723608	1	0	1	1	0
chr06	4779275	4798563	2	0	1	2	0
chr06	5282951	5534084	7	8	2	3	6
chr06	5597933	5607651	1	0	0	0	1
chr06	5788645	5840262	4	3	2	2	0
chr06	7020391	7059441	2	1	0	2	0
chr06	7209433	7213690	1	0	1	0	0
chr06	7289766	7296426	1	0	1	1	1
chr06	7432403	7442108	1	1	1	1	1
chr06	7511204	7515612	1	1	0	0	1
chr06	7670003	7671576	1	0	0	0	0
chr06	7815800	7855508	3	2	3	2	3
chr06	7911883	7955146	2	2	2	2	1
chr06	11113330	11125716	1	0	1	0	0
chr06	11222856	11226893	1	0	1	0	1
chr06	11319610	11402279	0	0	1	1	0
chr06	13909351	14047499	3	1	2	2	3
chr06	14381526	14385022	1	1	1	1	1
chr06	15953179	15982256	0	0	1	1	1
chr06	22101042	22127427	1	1	1	1	1
chr06	36018176	36058576	2	1	2	1	2
chr06	54926991	54934062	0	0	0	0	1
chr06	94694431	94717679	1	1	1	1	2
chr06	202999352	203005503	0	0	1	0	0
chr06	205809623	205819404	0	1	0	0	0
chr06	207121397	207163528	2	0	1	1	1
chr06	207342387	207541744	5	3	4	4	2
chr06	209180408	209207905	1	2	2	1	2
chr06	209529223	209536392	1	1	1	1	1
chr06	209602484	209732576	3	2	2	4	3
chr06	236850763	236851321	0	1	0	0	0
chr06	239947197	239962523	0	1	1	1	0
chr07	621606	781471	10	11	4	3	8
chr07	846448	849279	1	0	0	0	1
chr07	1159661	1212929	3	1	0	0	2
chr07	1564395	1710992	17	17	13	10	9
chr07	2106197	2108222	1	1	0	0	0
chr07	6032472	6089593	2	2	1	2	2
chr07	12198132	12218673	1	1	1	1	1
chr07	25733221	25733644	0	1	0	0	0
chr07	45719175	45732435	2	1	0	2	1
chr07	51198068	51198246	0	0	0	0	1
chr07	61679887	61697579	1	1	1	1	1
chr07	64916158	65033192	1	0	1	1	1
chr07	100536744	100629373	1	1	1	1	1
chr07	100849951	100857816	1	1	1	1	1
chr07	120811357	120830104	1	1	1	1	1
chr07	122174939	122257940	1	1	1	1	0
chr07	174314219	174329012	1	1	1	1	1
chr07	174578216	174625538	2	2	2	2	2
chr07	203563308	203606026	1	1	1	1	1
chr07	210898551	210900234	0	0	0	0	1
chr07	213099040	213118517	1	1	1	1	0
chr07	215890656	215922356	2	2	2	2	2
chr07	216517019	216649600	2	2	3	3	4
chr07	216808072	216876483	2	1	1	1	1
chr07	226005864	226036064	0	0	1	0	1
chr07	227889182	227890315	0	1	0	0	0
chr07	232030907	232110164	1	0	1	1	1
chr07	238962480	238972933	1	0	1	1	1
chr07	242458017	242505056	1	1	1	1	1
chr07	243983262	243987466	0	0	0	0	1
chr07	247722920	247733594	0	1	0	0	0
chr07	248611114	248617063	0	0	0	1	0
chr07	249087859	249116383	1	1	1	1	0
chr07	251214524	251243004	2	2	0	0	3
chr08	220621	224918	2	0	0	0	0
chr08	345042	369651	1	1	0	0	1
chr08	931453	940930	1	1	1	1	1
chr08	2080408	2106751	4	4	5	5	5
chr08	11052797	11068493	3	2	1	1	3
chr08	42809637	42861994	1	1	1	1	1
chr08	55788574	55802356	0	1	1	1	1
chr08	126818618	126856379	1	0	1	1	0
chr09	252548	396136	3	2	2	1	2
chr09	826153	855746	2	2	0	0	2
chr09	1298172	1300835	1	0	0	0	0
chr09	12219260	12248717	2	2	2	2	2
chr09	14080698	14118736	1	0	1	1	1
chr09	15268954	15301440	1	1	1	1	1
chr09	29103921	29157327	1	1	1	1	1
chr09	29279088	29296847	1	1	1	1	1
chr09	41870311	41917661	1	1	1	1	1
chr09	71064710	71078311	0	1	1	1	1
chr09	118052025	118091244	1	1	0	0	0
chr09	133032731	133048714	1	1	1	1	1
chr09	135211202	135226040	0	1	1	0	0
chr09	137489924	137529288	0	1	1	1	1
chr09	138728435	138755964	1	1	1	1	2
chr09	144255665	144269983	1	1	1	1	1
chr09	167611926	167642920	1	0	1	1	1
chr09	215470808	215540432	1	1	1	1	1
chr09	227633020	227668436	1	1	1	1	1
chr09	227999775	228074589	0	1	1	1	1
chr09	231722216	231726467	0	0	0	1	0
chr09	239707357	239714531	1	1	1	0	1
chr09	242330027	242373238	1	2	1	1	2
chr09	243916338	243976380	0	0	0	0	1
chr09	245865890	245883035	1	1	1	1	1
chr09	251976727	252152735	4	4	4	5	4
chr09	253039404	253170055	2	2	2	2	2
chr09	253245552	253420355	3	5	3	3	3
chr09	254546702	254589038	2	2	0	2	0
chr09	255521097	255690228	3	2	3	3	3
chr09	255887186	255948947	2	2	2	2	2
chr09	258663404	258845678	3	3	3	3	3
chr09	261659323	261711737	1	1	1	1	1
chr09	263121964	263295265	10	7	7	8	7
chr09	263450968	263453997	0	0	1	0	0
chr09	263547065	263797422	16	11	15	1	8
chr09	264024089	264408185	16	12	12	10	14
chr09	264602634	264641654	3	1	2	2	2
chr09	265339455	265403458	1	1	1	1	1
chr09	266096753	266107177	1	1	1	1	1
chr09	266608832	266623238	2	2	2	2	2
chr09	266695940	266801444	8	4	5	3	4
chr09	266984366	266985783	0	1	0	0	0
chr09	267179397	267186979	1	0	1	1	2
chr09	267682843	267722548	1	1	1	2	2
chr09	267887006	267893020	1	1	0	0	0
chr09	268053719	268058245	1	1	0	0	0
chr09	268315698	268373718	6	1	3	0	0
chr09	268551536	268854735	22	13	8	11	14
chr09	269022751	269181569	9	7	8	6	8
chr09	269453626	269496633	4	3	3	3	5
chr09	270074926	270134840	1	1	1	1	1
chr09	270378337	270438121	2	2	2	2	2
chr09	270703429	270944941	20	16	15	15	17
chr10	8974248	9038937	6	3	5	5	4
chr10	22062126	22111863	1	1	1	1	1
chr10	74207591	74207887	0	1	0	0	0
chr10	99374340	99449808	1	1	1	1	0
chr10	119118364	119154079	1	1	1	0	1
chr10	136631428	136661035	0	0	1	1	0
chr10	161955470	162008862	1	1	1	1	0
chr10	180557057	180559187	0	1	0	0	0
chr10	183959323	183961838	0	1	0	0	0
chr10	194586738	194606824	1	1	1	1	1
chr10	196110741	196114873	1	1	1	1	2
chr10	201202592	201211355	1	1	1	1	0
chr10	211265720	211283648	1	1	1	1	2
chr10	215775170	215794513	1	1	1	1	1
chr10	217516802	217538853	1	1	1	1	1
chr10	217678109	217730046	1	0	1	2	2
chr10	221108422	221120201	1	1	1	1	1
chr10	225901049	225958236	1	2	1	1	1
chr10	226057328	226145861	6	4	1	1	1
chr10	231051210	231101481	1	1	1	1	1
chr10	231302173	231357397	3	3	2	2	3
chr10	232225355	232286169	1	1	1	1	1
chr10	232431883	232509026	3	1	1	1	3
chr10	232676918	232866840	6	6	5	5	3
chr10	233068140	233321800	10	5	7	6	5
chr11	260016	260381	1	0	0	0	0
chr11	350548	441437	5	5	5	4	7
chr11	3724072	3791997	4	4	4	4	4
chr11	3957960	3968839	1	1	1	1	1
chr11	5155598	5202061	2	1	1	1	0
chr11	5399561	5527389	2	0	1	1	2
chr11	5661597	5671771	1	1	1	1	1
chr11	5735763	5747445	1	1	1	1	1
chr11	7295701	7316227	1	1	1	1	1
chr11	10303775	10364618	2	1	2	2	2
chr11	15910170	16065030	2	2	2	2	2
chr11	17199362	17266958	3	5	3	3	3
chr11	18805624	18836369	2	0	1	0	1
chr11	19073839	19145354	2	2	1	0	1
chr11	20421045	20439190	1	1	1	1	1
chr11	23989263	24248881	4	4	4	4	4
chr11	24786530	24843166	1	2	1	1	1
chr11	25057701	25157923	1	1	1	1	0
chr11	28304929	28351193	1	2	2	2	2
chr11	29737597	29743817	1	1	0	0	0
chr11	30751413	30752011	0	1	0	0	0
chr11	38288467	38352733	2	1	1	2	2
chr11	52460880	52489350	0	0	1	0	0
chr11	53732941	53772794	1	1	1	1	1
chr11	64677053	64741773	2	2	2	2	2
chr11	70755475	70830348	1	0	1	1	1
chr11	77997712	77999464	0	0	0	0	1
chr11	205967312	205967519	0	0	0	0	1
chr11	207766825	207780940	1	1	1	1	1
chr11	219768113	219874850	1	1	1	1	1
chr11	238973629	238994742	1	1	1	1	1
chr11	245863602	245875478	1	1	1	1	1
chr11	245961286	245973790	1	1	0	1	0
chr11	250937997	250978978	0	1	1	1	1
chr11	253610269	253637582	1	1	2	2	1
chr11	253795259	253866650	2	2	2	1	2
chr11	254268442	254303468	2	2	2	1	1
chr11	255199847	255233214	1	1	1	1	2
chr11	256345413	256372180	1	1	1	1	1
chr11	257821252	257975614	5	5	4	2	4
chr11	258203238	258255971	2	2	3	2	2
chr11	260574770	260597551	1	1	1	1	1
chr11	262264836	262354679	3	3	0	2	6
chr11	262436277	262462765	1	1	1	1	1
chr11	263628886	263658278	1	1	0	1	1
chr11	265671032	265923547	13	13	12	10	10
chr11	266221017	266263595	2	1	1	2	2
chr12	3772280	4087079	6	7	7	6	6
chr12	4147524	4218711	2	2	0	1	1
chr12	8367648	8389645	2	2	2	2	2
chr12	13181698	13204663	1	1	0	0	0
chr12	15831233	15838968	1	1	1	1	1
chr12	20862140	20885652	1	1	0	1	0
chr12	21237722	21270101	1	1	1	1	1
chr12	23293184	23293780	1	0	0	0	0
chr12	26458702	26540443	1	1	1	1	2
chr12	28748865	28759107	1	0	0	0	0
chr12	29757963	29783893	1	1	1	1	1
chr12	31915134	31962397	3	2	2	2	2
chr12	38551500	38570013	0	1	0	0	0
chr12	42286389	42326934	1	1	2	1	1
chr12	47200159	47245857	1	0	1	1	1
chr12	49972996	49978418	1	0	0	0	0
chr12	56591907	56597180	0	1	0	0	0
chr12	75146604	75146973	0	1	0	0	0
chr12	133108757	133120790	1	1	1	1	0
chr12	160163005	160175250	1	0	0	0	0
chr12	197869870	197910892	1	1	1	1	1
chr12	208965990	208978354	0	0	1	0	0
chr12	225296086	225326206	1	1	1	1	1
chr12	228222644	228288281	1	1	1	1	1
chr12	229452312	229498489	1	1	1	1	1
chr12	230293858	230363386	1	1	1	1	0
chr12	233399922	233454978	1	1	1	1	1
chr12	238189486	238192243	0	1	0	0	0
chr12	238263919	238271672	1	0	1	1	1
chr12	239601456	239621382	1	1	1	0	0
chr12	242705592	242775501	4	0	1	1	3
chr12	242885841	242894835	1	1	1	1	1
chr12	245747954	245768840	1	1	1	1	1
chr12	246364079	246381717	1	1	1	1	1
chr12	246500129	246614526	6	7	5	6	7
PGAv.1.6.scaffold1006	900453	915558	1	0	0	1	0
PGAv.1.6.scaffold1076	300056	311621	1	1	1	1	1
PGAv.1.6.scaffold10867	624	1235	0	0	0	0	1
PGAv.1.6.scaffold1110	65689	81945	1	1	1	1	2
PGAv.1.6.scaffold1149	177508	225464	2	2	2	2	2
PGAv.1.6.scaffold1155	330310	399976	3	3	1	1	2
PGAv.1.6.scaffold1155	451572	467870	1	0	0	1	1
PGAv.1.6.scaffold1155	592593	646962	4	4	4	4	4
PGAv.1.6.scaffold1196	416287	417079	0	0	0	0	1
PGAv.1.6.scaffold12128	138	1151	2	0	0	0	0
PGAv.1.6.scaffold1273	575616	578526	0	0	0	1	0
PGAv.1.6.scaffold1335	14936	52222	1	1	1	1	1
PGAv.1.6.scaffold1335	136897	194070	2	2	2	2	2
PGAv.1.6.scaffold1342	6889	9679	1	0	0	1	0
PGAv.1.6.scaffold13506	125	472	1	0	0	0	0
PGAv.1.6.scaffold1372	34289	69833	3	3	2	2	2
PGAv.1.6.scaffold1379	6978	47714	4	4	3	4	3
PGAv.1.6.scaffold1447	201449	207588	2	0	0	0	1
PGAv.1.6.scaffold1447	310681	339290	1	1	1	1	1
PGAv.1.6.scaffold1447	392037	428392	3	1	0	0	2
PGAv.1.6.scaffold1578	45560	344026	16	6	7	6	9
PGAv.1.6.scaffold1617	191996	281796	5	6	5	5	3
PGAv.1.6.scaffold1632	35918	167430	6	3	0	7	8
PGAv.1.6.scaffold1646	59665	271734	8	4	1	8	0
PGAv.1.6.scaffold1647	39643	66539	1	1	1	1	1
PGAv.1.6.scaffold1696	67945	115381	2	2	2	0	2
PGAv.1.6.scaffold1696	237903	241487	1	1	1	0	0
PGAv.1.6.scaffold1703	223716	233000	1	1	0	0	1
PGAv.1.6.scaffold1756	54084	59536	1	2	0	0	1
PGAv.1.6.scaffold1768	40226	82090	3	2	0	2	2
PGAv.1.6.scaffold1768	175752	194833	3	0	1	0	3
PGAv.1.6.scaffold1798	122097	135775	1	1	0	0	1
PGAv.1.6.scaffold1832	17152	35638	1	1	1	1	1
PGAv.1.6.scaffold1848	37850	97265	4	4	3	3	4
PGAv.1.6.scaffold1859	153683	161190	1	1	1	1	1
PGAv.1.6.scaffold1887	1	140249	7	0	0	7	7
PGAv.1.6.scaffold1896	54972	133711	9	2	3	0	5
PGAv.1.6.scaffold1953	6949	11178	1	0	0	0	2
PGAv.1.6.scaffold1958	1	19775	1	0	0	0	1
PGAv.1.6.scaffold2014	33315	39243	1	0	0	0	0
PGAv.1.6.scaffold2022	42233	73620	3	1	1	1	2
PGAv.1.6.scaffold2045	58121	67032	0	1	0	0	0
PGAv.1.6.scaffold2072	22912	31475	1	1	1	0	1
PGAv.1.6.scaffold21106	351	728	1	0	0	0	0
PGAv.1.6.scaffold2244	21532	42257	2	2	1	2	0
PGAv.1.6.scaffold2352	1	29938	2	2	0	1	2
PGAv.1.6.scaffold2372	20860	26911	1	0	1	0	0
PGAv.1.6.scaffold2394	9121	16408	1	0	0	0	0
PGAv.1.6.scaffold2401	4210	12032	1	0	0	0	0
PGAv.1.6.scaffold24191	1	709	0	1	0	0	0
PGAv.1.6.scaffold2458	17524	19086	1	0	0	0	0
PGAv.1.6.scaffold2463	22353	22676	1	0	0	0	0
PGAv.1.6.scaffold24744	164	697	1	0	0	0	0
PGAv.1.6.scaffold2533	9577	18823	1	0	0	0	0
PGAv.1.6.scaffold2650	46	18727	1	0	0	1	0
PGAv.1.6.scaffold2670	1	18361	1	1	0	1	0
PGAv.1.6.scaffold2687	2603	8154	1	1	0	1	1
PGAv.1.6.scaffold285	33025	35778	1	0	0	0	0
PGAv.1.6.scaffold285	518738	529529	0	0	1	1	0
PGAv.1.6.scaffold285	924726	983269	0	1	1	1	1
PGAv.1.6.scaffold2864	1	4407	2	1	1	0	0
PGAv.1.6.scaffold289	59856	78310	1	1	1	1	1
PGAv.1.6.scaffold30558	65	364	1	0	0	0	0
PGAv.1.6.scaffold3078	267	7435	1	0	0	0	0
PGAv.1.6.scaffold3102	4776	6647	1	0	0	0	0
PGAv.1.6.scaffold3131	127	7434	2	0	0	0	1
PGAv.1.6.scaffold322	278399	313372	1	1	0	0	2
PGAv.1.6.scaffold3324	2252	7688	1	1	0	1	1
PGAv.1.6.scaffold3398	820	4694	1	1	0	0	0
PGAv.1.6.scaffold3446	64	6719	0	0	1	1	0
PGAv.1.6.scaffold3483	3425	5099	1	0	0	0	0
PGAv.1.6.scaffold35428	90	431	1	0	0	0	0
PGAv.1.6.scaffold3750	961	2568	1	0	0	0	0
PGAv.1.6.scaffold3756	3580	5272	1	0	0	0	0
PGAv.1.6.scaffold3893	37	3023	1	0	0	0	0
PGAv.1.6.scaffold459	1215180	1232129	1	1	1	1	1
PGAv.1.6.scaffold504	998904	1013908	2	2	2	2	2
PGAv.1.6.scaffold5941	54	1954	1	0	0	0	0
PGAv.1.6.scaffold606	206160	277755	0	1	1	1	1
PGAv.1.6.scaffold6637	400	1483	1	0	0	0	0
PGAv.1.6.scaffold681	382715	845457	22	20	21	19	19
PGAv.1.6.scaffold681	1046983	1050983	1	1	1	1	1
PGAv.1.6.scaffold7523	299	1632	1	0	0	0	0
PGAv.1.6.scaffold8460	32	1324	1	0	0	0	0
PGAv.1.6.scaffold855	1042286	1063778	2	1	1	1	0
PGAv.1.6.scaffold869	442655	570971	3	2	3	2	3
PGAv.1.6.scaffold9461	1	1371	0	1	0	0	0
PGAv.1.6.scaffold959	600451	608162	1	1	0	1	1
PGAv.1.6.scaffold960	9958	27569	2	0	1	0	1
PGAv.1.6.scaffold960	249643	304429	1	0	1	0	0
PGAv.1.6.scaffold960	375724	392253	1	2	1	1	1
PGAv.1.6.scaffold963	736531	845693	2	2	2	2	1
PGAv.1.6.scaffold973	71763	92370	0	1	1	1	1
Chiltepin_v2.0_genome	1260844	1267353	0	1	0	0	0
Chiltepin_v2.0_genome	1575435	1578670	0	1	0	0	0
Chiltepin_v2.0_genome	1931084	1947184	0	1	0	0	0
Chiltepin_v2.0_genome	2092617	2100708	0	1	0	0	0
Chiltepin_v2.0_genome	2916290	2932688	0	1	0	0	0
Chiltepin_v2.0_genome	4237600	4238425	0	1	0	0	0
Chiltepin_v2.0_genome	4346690	4347751	0	1	0	0	0
Chiltepin_v2.0_genome	4830309	4839885	0	1	0	0	0
Chiltepin_v2.0_genome	4995747	4996796	0	1	0	0	0
Chiltepin_v2.0_genome	5106792	5107778	0	1	0	0	0
Chiltepin_v2.0_genome	5687478	5706136	0	1	0	0	0
Chiltepin_v2.0_genome	7210109	7213516	0	1	0	0	0
Chiltepin_v2.0_genome	8952366	8957274	0	1	0	0	0
Chiltepin_v2.0_genome	9330395	9343594	0	1	0	0	0
Chiltepin_v2.0_genome	10641442	10654341	0	1	0	0	0
Chiltepin_v2.0_genome	11659822	11662001	0	1	0	0	0
Chiltepin_v2.0_genome	12002083	12004764	0	1	0	0	0
Chiltepin_v2.0_genome	12271335	12273206	0	1	0	0	0
Chiltepin_v2.0_genome	12274262	12277573	0	1	0	0	0
Chiltepin_v2.0_genome	13105485	13124425	0	1	0	0	0
Chiltepin_v2.0_genome	15058750	15071813	0	1	0	0	0
Chiltepin_v2.0_genome	15133305	15149639	0	1	0	0	0
Chiltepin_v2.0_genome	15194755	15208900	0	1	0	0	0
Chiltepin_v2.0_genome	15605290	15611733	0	1	0	0	0
Chiltepin_v2.0_genome	16082451	16095458	0	1	0	0	0
Chiltepin_v2.0_genome	16979112	16980213	0	1	0	0	0
Chiltepin_v2.0_genome	18129233	18131132	0	1	0	0	0
Chiltepin_v2.0_genome	18157293	18159458	0	1	0	0	0
Chiltepin_v2.0_genome	18230255	18235242	0	1	0	0	0
Chiltepin_v2.0_genome	19185717	19188318	0	1	0	0	0
Chiltepin_v2.0_genome	19595455	19615788	0	1	0	0	0
Chiltepin_v2.0_genome	19622298	19623445	0	1	0	0	0
Chiltepin_v2.0_genome	19628906	19631780	0	1	0	0	0
Chiltepin_v2.0_genome	21451051	21454664	0	1	0	0	0
Chiltepin_v2.0_genome	21504761	21506994	0	1	0	0	0
Chiltepin_v2.0_genome	21830350	21839839	0	1	0	0	0
Chiltepin_v2.0_genome	23158457	23174570	0	1	0	0	0
Chiltepin_v2.0_genome	23879952	23880362	0	1	0	0	0
Chiltepin_v2.0_genome	24168330	24172003	0	1	0	0	0
Chiltepin_v2.0_genome	24230676	24239361	0	1	0	0	0
Chiltepin_v2.0_genome	24247134	24259735	0	1	0	0	0
Chiltepin_v2.0_genome	24288794	24313988	0	1	0	0	0
Chiltepin_v2.0_genome	24318287	24319624	0	1	0	0	0
Chiltepin_v2.0_genome	24321282	24329465	0	1	0	0	0
Chiltepin_v2.0_genome	24426195	24428097	0	1	0	0	0
Chiltepin_v2.0_genome	24512890	24521473	0	1	0	0	0
Chiltepin_v2.0_genome	24567406	24569617	0	1	0	0	0
Chiltepin_v2.0_genome	24685890	24696545	0	1	0	0	0
Chiltepin_v2.0_genome	24721299	24725864	0	1	0	0	0
Chiltepin_v2.0_genome	24775015	24817423	0	1	0	0	0
Chiltepin_v2.0_genome	25641048	25649463	0	1	0	0	0
Chiltepin_v2.0_genome	26342158	26359866	0	1	0	0	0
Chiltepin_v2.0_genome	27979268	27981086	0	1	0	0	0
Chiltepin_v2.0_genome	28129679	28129969	0	1	0	0	0
